date,secchi_m,light_attenuation_index
1982-01-26,2.300000,0.739130
1982-02-23,2.200000,0.772727
1982-04-05,2.500000,0.680000
1982-05-11,1.700000,1.000000
1982-05-25,1.900000,0.894737
1982-06-09,3.000000,0.566667
1982-06-25,2.500000,0.680000
1982-07-05,3.300000,0.515152
1982-07-21,3.200000,0.531250
1982-08-05,2.800000,0.607143
1982-08-16,3.000000,0.566667
1982-09-08,1.900000,0.894737
1982-09-21,1.500000,1.133333
1982-10-05,2.000000,0.850000
1982-10-22,2.300000,0.739130
1982-11-08,2.400000,0.708333
1982-11-30,3.500000,0.485714
1983-01-17,3.000000,0.566667
1983-02-18,3.000000,0.566667
1983-03-23,2.500000,0.680000
1983-05-10,2.100000,0.809524
1983-05-25,2.400000,0.708333
1983-06-08,2.700000,0.629630
1983-06-22,3.000000,0.566667
1983-07-05,3.400000,0.500000
1983-07-20,3.900000,0.435897
1983-08-04,2.600000,0.653846
1983-08-15,2.800000,0.607143
1983-09-09,2.900000,0.586207
1983-09-29,1.300000,1.307692
1983-10-18,2.500000,0.680000
1983-11-16,2.300000,0.739130
1984-01-06,2.200000,0.772727
1984-02-29,2.900000,0.586207
1984-04-03,3.500000,0.485714
1984-05-09,2.300000,0.739130
1984-05-23,3.500000,0.485714
1984-06-05,2.400000,0.708333
1984-06-21,3.900000,0.435897
1984-07-03,3.200000,0.531250
1984-07-18,2.800000,0.607143
1984-08-02,3.100000,0.548387
1984-08-14,3.200000,0.531250
1984-09-06,1.800000,0.944444
1984-09-24,1.800000,0.944444
1984-10-15,2.400000,0.708333
1984-11-08,1.800000,0.944444
1985-01-07,3.000000,0.566667
1985-02-25,3.600000,0.472222
1985-03-27,4.000000,0.425000
1985-04-30,2.000000,0.850000
1985-05-16,3.600000,0.472222
1985-05-28,3.800000,0.447368
1985-06-11,2.300000,0.739130
1985-06-24,3.300000,0.515152
1985-07-11,4.300000,0.395349
1985-07-23,2.700000,0.629630
1985-08-07,2.800000,0.607143
1985-08-19,1.500000,1.133333
1985-09-12,2.000000,0.850000
1985-09-30,2.000000,0.850000
1985-10-22,2.400000,0.708333
1985-11-11,2.800000,0.607143
1986-03-03,2.300000,0.739130
1986-03-31,4.200000,0.404762
1986-04-24,1.800000,0.944444
1986-05-08,3.000000,0.566667
1986-05-20,5.400000,0.314815
1986-06-02,3.800000,0.447368
1986-06-18,6.100000,0.278689
1986-07-02,4.000000,0.425000
1986-07-16,3.200000,0.531250
1986-07-28,3.400000,0.500000
1986-08-13,2.400000,0.708333
1986-08-26,1.900000,0.894737
1986-09-10,2.100000,0.809524
1986-09-22,2.000000,0.850000
1986-10-09,2.300000,0.739130
1986-10-22,2.400000,0.708333
1986-11-03,2.400000,0.708333
1987-01-20,2.500000,0.680000
1987-02-24,3.100000,0.548387
1987-03-19,4.800000,0.354167
1987-04-15,2.000000,0.850000
1987-05-04,3.600000,0.472222
1987-05-18,4.100000,0.414634
1987-06-01,3.900000,0.435897
1987-06-11,3.900000,0.435897
1987-06-29,3.600000,0.472222
1987-07-27,4.100000,0.414634
1987-08-13,2.000000,0.850000
1987-08-26,1.500000,1.133333
1987-09-10,1.600000,1.062500
1987-09-21,1.600000,1.062500
1987-10-05,1.700000,1.000000
1987-10-21,2.500000,0.680000
1987-11-05,3.000000,0.566667
1987-11-18,3.100000,0.548387
1988-01-11,3.900000,0.435897
1988-03-02,3.000000,0.566667
1988-03-21,2.700000,0.629630
1988-04-26,2.100000,0.809524
1988-05-09,4.100000,0.414634
1988-05-25,4.700000,0.361702
1988-06-07,5.400000,0.314815
1988-06-20,5.000000,0.340000
1988-07-04,3.600000,0.472222
1988-07-19,4.200000,0.404762
1988-08-03,3.100000,0.548387
1988-08-18,2.100000,0.809524
1988-08-30,1.400000,1.214286
1988-09-13,1.400000,1.214286
1988-09-28,1.300000,1.307692
1988-10-12,3.000000,0.566667
1988-10-25,3.300000,0.515152
1988-11-02,4.900000,0.346939
1989-01-11,4.300000,0.395349
1989-03-06,3.100000,0.548387
1989-05-01,1.900000,0.894737
1989-05-16,4.100000,0.414634
1989-05-29,5.000000,0.340000
1989-06-13,3.500000,0.485714
1989-06-28,3.200000,0.531250
1989-07-12,3.600000,0.472222
1989-07-25,3.800000,0.447368
1989-08-07,2.500000,0.680000
1989-08-22,2.200000,0.772727
1989-09-06,1.700000,1.000000
1989-09-19,1.700000,1.000000
1989-10-04,2.700000,0.629630
1989-10-18,3.300000,0.515152
1989-10-31,3.000000,0.566667
1989-11-09,2.700000,0.629630
1990-01-24,3.200000,0.531250
1990-02-27,3.000000,0.566667
1990-03-27,4.100000,0.414634
1990-04-30,2.400000,0.708333
1990-05-17,5.300000,0.320755
1990-05-30,5.900000,0.288136
1990-06-13,4.000000,0.425000
1990-06-27,3.200000,0.531250
1990-07-09,3.100000,0.548387
1990-07-24,3.300000,0.515152
1990-08-08,2.500000,0.680000
1990-08-22,2.200000,0.772727
1990-09-04,1.900000,0.894737
1990-09-18,1.800000,0.944444
1990-10-03,2.000000,0.850000
1990-10-17,2.100000,0.809524
1990-10-31,1.100000,1.545455
1990-11-09,1.200000,1.416667
1991-01-17,3.000000,0.566667
1991-02-19,3.800000,0.447368
1991-03-25,3.600000,0.472222
1991-05-07,2.000000,0.850000
1991-05-21,5.700000,0.298246
1991-06-04,2.600000,0.653846
1991-06-18,3.600000,0.472222
1991-07-03,3.100000,0.548387
1991-07-15,2.700000,0.629630
1991-07-30,2.800000,0.607143
1991-08-13,3.500000,0.485714
1991-08-27,2.800000,0.607143
1991-09-10,2.400000,0.708333
1991-09-23,1.400000,1.214286
1991-10-09,2.200000,0.772727
1991-10-28,2.700000,0.629630
1992-01-17,3.200000,0.531250
1992-03-04,3.100000,0.548387
1992-03-23,2.400000,0.708333
1992-05-05,1.200000,1.416667
1992-05-18,3.300000,0.515152
1992-06-01,3.700000,0.459459
1992-06-19,2.700000,0.629630
1992-07-07,2.100000,0.809524
1992-07-15,2.700000,0.629630
1992-07-29,2.800000,0.607143
1992-08-12,2.300000,0.739130
1992-08-26,3.400000,0.500000
1992-09-11,1.600000,1.062500
1992-09-21,1.400000,1.214286
1992-10-06,2.100000,0.809524
1992-10-21,2.900000,0.586207
1992-11-06,3.000000,0.566667
1993-01-08,2.900000,0.586207
1993-02-23,2.500000,0.680000
1993-03-23,3.100000,0.548387
1993-05-03,1.700000,1.000000
1993-05-17,2.600000,0.653846
1993-06-04,4.500000,0.377778
1993-06-16,4.400000,0.386364
1993-06-30,3.200000,0.531250
1993-07-12,4.100000,0.414634
1993-07-26,3.200000,0.531250
1993-08-11,3.800000,0.447368
1993-08-26,3.700000,0.459459
1993-09-09,1.600000,1.062500
1993-09-22,2.000000,0.850000
1993-10-04,2.000000,0.850000
1993-10-21,2.900000,0.586207
1993-11-03,2.800000,0.607143
1994-01-10,2.500000,0.680000
1994-02-22,4.200000,0.404762
1994-03-29,1.800000,0.944444
1994-05-03,1.900000,0.894737
1994-05-20,3.300000,0.515152
1994-06-06,4.200000,0.404762
1994-06-13,4.200000,0.404762
1994-06-27,3.400000,0.500000
1994-07-12,2.500000,0.680000
1994-07-27,2.000000,0.850000
1994-08-08,1.700000,1.000000
1994-09-09,1.300000,1.307692
1994-09-21,1.500000,1.133333
1994-10-05,1.500000,1.133333
1994-10-17,1.600000,1.062500
1994-10-31,1.800000,0.944444
1994-11-17,2.200000,0.772727
1995-01-11,1.900000,0.894737
1995-02-21,2.800000,0.607143
1995-05-01,1.400000,1.214286
1995-05-15,2.200000,0.772727
1995-05-30,2.200000,0.772727
1995-06-12,2.400000,0.708333
1995-06-26,3.000000,0.566667
1995-07-10,3.200000,0.531250
1995-07-26,2.400000,0.708333
1995-08-08,2.200000,0.772727
1995-08-21,2.400000,0.708333
1995-09-07,2.000000,0.850000
1995-09-18,1.500000,1.133333
1995-10-02,1.900000,0.894737
1995-10-16,2.000000,0.850000
1995-10-30,2.500000,0.680000
1995-12-14,2.100000,0.809524
1996-01-16,3.400000,0.500000
1996-02-20,1.900000,0.894737
1996-04-08,1.700000,1.000000
1996-05-14,2.100000,0.809524
1996-05-30,1.900000,0.894737
1996-06-12,2.600000,0.653846
1996-06-27,2.900000,0.586207
1996-07-11,2.600000,0.653846
1996-07-22,2.200000,0.772727
1996-08-08,2.900000,0.586207
1996-08-21,2.900000,0.586207
1996-09-03,3.500000,0.485714
1996-09-16,1.600000,1.062500
1996-10-02,2.200000,0.772727
1996-10-16,2.100000,0.809524
1996-11-04,2.300000,0.739130
1997-01-20,2.900000,0.586207
1997-02-26,2.100000,0.809524
1997-03-19,2.300000,0.739130
1997-05-13,2.000000,0.850000
1997-05-20,2.000000,0.850000
1997-06-03,2.500000,0.680000
1997-06-16,3.000000,0.566667
1997-07-02,3.600000,0.472222
1997-07-15,3.300000,0.515152
1997-07-31,4.000000,0.425000
1997-08-14,2.800000,0.607143
1997-08-27,3.100000,0.548387
1997-09-08,2.300000,0.739130
1997-09-25,1.600000,1.062500
1997-10-07,2.200000,0.772727
1997-10-20,1.800000,0.944444
1997-11-07,1.900000,0.894737
1998-01-19,2.100000,0.809524
1998-02-24,4.100000,0.414634
1998-03-16,3.100000,0.548387
1998-04-22,1.800000,0.944444
1998-05-04,2.100000,0.809524
1998-05-18,2.400000,0.708333
1998-06-01,3.100000,0.548387
1998-06-17,4.100000,0.414634
1998-06-29,3.200000,0.531250
1998-07-13,2.900000,0.586207
1998-07-29,2.500000,0.680000
1998-08-11,3.000000,0.566667
1998-08-25,2.900000,0.586207
1998-09-09,2.900000,0.586207
1998-09-22,1.600000,1.062500
1998-10-05,1.900000,0.894737
1998-10-19,1.900000,0.894737
1998-11-04,2.600000,0.653846
1999-01-21,3.200000,0.531250
1999-02-25,2.200000,0.772727
1999-03-23,3.600000,0.472222
1999-05-06,2.500000,0.680000
1999-05-17,4.000000,0.425000
1999-06-04,2.800000,0.607143
1999-06-16,3.400000,0.500000
1999-06-28,3.100000,0.548387
1999-07-14,3.000000,0.566667
1999-07-28,5.000000,0.340000
1999-08-10,2.900000,0.586207
1999-08-26,3.500000,0.485714
1999-09-07,2.900000,0.586207
1999-09-22,1.600000,1.062500
1999-10-04,2.000000,0.850000
1999-10-19,2.300000,0.739130
1999-11-05,3.000000,0.566667
2000-01-26,5.100000,0.333333
2000-02-24,4.600000,0.369565
2000-04-03,3.100000,0.548387
2000-04-24,3.000000,0.566667
2000-05-04,4.600000,0.369565
2000-05-16,4.000000,0.425000
2000-06-02,2.800000,0.607143
2000-06-13,3.400000,0.500000
2000-06-29,2.400000,0.708333
2000-07-12,2.400000,0.708333
2000-07-24,2.400000,0.708333
2000-08-09,1.900000,0.894737
2000-08-23,1.400000,1.214286
2000-09-08,1.700000,1.000000
2000-09-19,1.500000,1.133333
2000-10-02,1.700000,1.000000
2000-10-16,2.500000,0.680000
2000-10-30,2.900000,0.586207
2000-11-15,3.400000,0.500000
2001-01-26,4.000000,0.425000
2001-03-02,3.600000,0.472222
2001-03-02,3.600000,0.472222
2001-05-01,1.800000,0.944444
2001-05-14,3.400000,0.500000
2001-05-29,5.600000,0.303571
2001-06-11,3.100000,0.548387
2001-06-25,2.800000,0.607143
2001-07-10,4.400000,0.386364
2001-07-23,2.900000,0.586207
2001-08-06,3.100000,0.548387
2001-08-23,3.600000,0.472222
2001-09-05,2.500000,0.680000
2001-09-17,1.700000,1.000000
2001-10-03,1.800000,0.944444
2001-10-15,1.800000,0.944444
2001-10-29,2.600000,0.653846
2001-11-14,2.400000,0.708333
2002-01-23,3.600000,0.472222
2002-03-05,3.900000,0.435897
2002-04-04,3.800000,0.447368
2002-04-23,2.700000,0.629630
2002-05-06,2.900000,0.586207
2002-05-20,3.900000,0.435897
2002-06-03,4.000000,0.425000
2002-06-17,3.600000,0.472222
2002-07-01,3.100000,0.548387
2002-07-16,3.300000,0.515152
2002-08-01,4.000000,0.425000
2002-08-14,2.900000,0.586207
2002-08-26,4.200000,0.404762
2002-09-09,2.700000,0.629630
2002-09-24,1.800000,0.944444
2002-10-09,1.900000,0.894737
2002-10-21,1.900000,0.894737
2002-11-04,1.900000,0.894737
2003-01-24,3.300000,0.515152
2003-02-26,3.100000,0.548387
2003-04-30,1.400000,1.214286
2003-05-15,1.600000,1.062500
2003-05-29,5.100000,0.333333
2003-06-11,3.600000,0.472222
2003-06-23,3.200000,0.531250
2003-07-07,3.600000,0.472222
2003-07-23,4.400000,0.386364
2003-08-06,2.900000,0.586207
2003-08-18,3.900000,0.435897
2003-09-02,2.100000,0.809524
2003-09-17,2.100000,0.809524
2003-09-30,2.600000,0.653846
2003-10-13,3.400000,0.500000
2003-10-30,2.100000,0.809524
2003-11-19,3.200000,0.531250
2004-01-14,3.300000,0.515152
2004-02-19,3.500000,0.485714
2004-03-31,5.100000,0.333333
2004-04-27,1.400000,1.214286
2004-05-10,2.700000,0.629630
2004-05-24,3.700000,0.459459
2004-06-07,3.400000,0.500000
2004-06-21,2.500000,0.680000
2004-07-07,3.100000,0.548387
2004-07-22,3.000000,0.566667
2004-08-02,3.600000,0.472222
2004-08-16,2.700000,0.629630
2004-09-01,1.900000,0.894737
2004-09-10,1.700000,1.000000
2004-09-30,3.200000,0.531250
2004-10-11,2.900000,0.586207
2004-10-25,1.500000,1.133333
2004-11-09,2.000000,0.850000
2005-01-10,4.800000,0.354167
2005-02-23,4.600000,0.369565
2005-04-01,4.300000,0.395349
2005-04-19,1.900000,0.894737
2005-05-03,3.200000,0.531250
2005-05-16,5.100000,0.333333
2005-05-31,7.300000,0.232877
2005-06-14,3.900000,0.435897
2005-06-27,4.800000,0.354167
2005-07-11,4.700000,0.361702
2005-07-26,3.000000,0.566667
2005-08-08,3.000000,0.566667
2005-08-23,2.400000,0.708333
2005-09-06,1.800000,0.944444
2005-09-22,2.200000,0.772727
2005-10-03,2.200000,0.772727
2005-10-20,1.500000,1.133333
2005-11-08,2.200000,0.772727
2006-01-10,3.000000,0.566667
2006-02-27,4.000000,0.425000
2006-03-28,4.300000,0.395349
2006-04-20,1.400000,1.214286
2006-05-01,1.800000,0.944444
2006-05-16,3.100000,0.548387
2006-05-30,4.200000,0.404762
2006-06-12,4.100000,0.414634
2006-06-26,3.800000,0.447368
2006-07-11,4.000000,0.425000
2006-07-25,3.800000,0.447368
2006-08-09,3.300000,0.515152
2006-08-21,3.500000,0.485714
2006-09-05,3.800000,0.447368
2006-09-19,2.000000,0.850000
2006-10-04,2.600000,0.653846
2006-10-16,2.500000,0.680000
2006-10-31,2.900000,0.586207
2007-01-24,4.600000,0.369565
2007-02-23,5.700000,0.298246
2007-03-26,5.100000,0.333333
2007-04-23,1.800000,0.944444
2007-05-07,4.400000,0.386364
2007-05-21,4.600000,0.369565
2007-06-04,3.300000,0.515152
2007-06-19,2.800000,0.607143
2007-07-04,3.500000,0.485714
2007-07-16,3.300000,0.515152
2007-07-30,3.900000,0.435897
2007-08-15,2.700000,0.629630
2007-08-30,3.000000,0.566667
2007-09-10,1.900000,0.894737
2007-09-27,2.100000,0.809524
2007-10-08,1.800000,0.944444
2007-10-22,2.500000,0.680000
2007-11-08,4.400000,0.386364
2008-01-15,4.400000,0.386364
2008-03-03,4.900000,0.346939
2008-03-25,3.900000,0.435897
2008-05-08,2.000000,0.850000
2008-05-19,2.400000,0.708333
2008-06-02,6.200000,0.274194
2008-06-19,2.800000,0.607143
2008-06-30,2.500000,0.680000
2008-07-15,3.000000,0.566667
2008-07-28,3.000000,0.566667
2008-08-12,2.500000,0.680000
2008-08-25,2.600000,0.653846
2008-09-09,2.100000,0.809524
2008-09-22,1.600000,1.062500
2008-10-06,1.900000,0.894737
2008-10-20,3.000000,0.566667
2008-11-06,3.500000,0.485714
2009-01-20,4.900000,0.346939
2009-02-23,5.400000,0.314815
2009-03-17,5.100000,0.333333
2009-04-27,2.000000,0.850000
2009-05-12,3.100000,0.548387
2009-05-26,3.300000,0.515152
2009-06-08,3.500000,0.485714
2009-06-22,3.200000,0.531250
2009-07-06,2.700000,0.629630
2009-07-21,2.300000,0.739130
2009-08-04,3.100000,0.548387
2009-08-19,2.000000,0.850000
2009-08-31,1.600000,1.062500
2009-09-14,4.100000,0.414634
2009-09-29,2.000000,0.850000
2009-10-14,2.100000,0.809524
2009-10-26,4.400000,0.386364
2009-11-09,2.300000,0.739130
2010-01-19,2.700000,0.629630
2010-02-16,3.700000,0.459459
2010-03-22,5.900000,0.288136
2010-04-12,2.700000,0.629630
2010-04-27,6.500000,0.261538
2010-05-12,4.800000,0.354167
2010-05-24,6.000000,0.283333
2010-06-07,3.300000,0.515152
2010-06-22,3.900000,0.435897
2010-07-08,3.300000,0.515152
2010-07-19,2.200000,0.772727
2010-08-02,2.300000,0.739130
2010-08-18,2.100000,0.809524
2010-08-31,2.100000,0.809524
2010-09-13,1.500000,1.133333
2010-09-29,1.900000,0.894737
2010-10-12,3.200000,0.531250
2010-10-28,2.400000,0.708333
2010-11-10,3.400000,0.500000
2011-01-19,2.900000,0.586207
2011-02-15,2.700000,0.629630
2011-03-16,3.900000,0.435897
2011-05-02,1.800000,0.944444
2011-05-17,2.500000,0.680000
2011-05-31,1.200000,1.416667
2011-06-13,3.400000,0.500000
2011-06-27,3.400000,0.500000
2011-07-12,2.600000,0.653846
2011-07-25,2.800000,0.607143
2011-08-08,2.400000,0.708333
2011-08-22,2.600000,0.653846
2011-09-07,2.300000,0.739130
2011-09-19,2.200000,0.772727
2011-10-05,2.300000,0.739130
2011-10-17,2.200000,0.772727
2011-10-31,2.400000,0.708333
2011-11-11,2.300000,0.739130
2012-01-16,4.100000,0.414634
2012-02-23,3.200000,0.531250
2012-04-03,3.100000,0.548387
2012-04-16,1.500000,1.133333
2012-04-30,3.200000,0.531250
2012-05-14,4.200000,0.404762
2012-05-29,3.100000,0.548387
2012-06-11,3.600000,0.472222
2012-06-26,2.800000,0.607143
2012-07-10,3.600000,0.472222
2012-07-25,2.700000,0.629630
2012-08-06,1.900000,0.894737
2012-08-20,1.500000,1.133333
2012-09-04,0.700000,2.428571
2012-09-19,1.100000,1.545455
2012-10-01,2.900000,0.586207
2012-10-18,2.900000,0.586207
2012-11-01,2.800000,0.607143
2012-11-09,3.300000,0.515152
2013-01-25,2.800000,0.607143
2013-02-25,3.900000,0.435897
2013-03-27,4.600000,0.369565
2013-05-14,2.200000,0.772727
2013-06-10,4.200000,0.404762
2013-06-26,3.800000,0.447368
2013-07-11,3.500000,0.485714
2013-08-07,2.400000,0.708333
2013-08-19,3.700000,0.459459
2013-09-03,2.700000,0.629630
2013-10-01,2.800000,0.607143
2013-10-30,2.800000,0.607143
2013-11-07,2.700000,0.629630
2014-01-17,2.600000,0.653846
2014-03-18,2.400000,0.708333
2014-03-27,2.400000,0.708333
2014-05-20,1.500000,1.133333
2014-06-02,2.300000,0.739130
2014-06-17,4.500000,0.377778
2014-07-02,3.600000,0.472222
2014-07-14,2.900000,0.586207
2014-07-30,3.900000,0.435897
2014-08-12,4.100000,0.414634
2014-08-26,4.200000,0.404762
2014-09-08,3.200000,0.531250
2014-09-24,1.700000,1.000000
2014-10-06,2.400000,0.708333
2014-10-21,2.600000,0.653846
2014-11-03,2.500000,0.680000
